Liga,Saison,Team,Marktwert,Platzierung,Punkte
Premier-league,2011,Tottenham Hotspur,323500000,4 ,69
Premier-league,2011,FC Liverpool,236900000,8 ,52
Premier-league,2011,FC Everton,169950000,7 ,56
Premier-league,2011,Newcastle United,161700000,5 ,65
Premier-league,2011,AFC Sunderland,126500000,13 ,45
Premier-league,2011,Aston Villa,123500000,16 ,38
Premier-league,2011,FC Fulham,100000000,9 ,52
Premier-league,2011,Bolton Wanderers,90050000,18 ,36
Premier-league,2011,Stoke City,81650000,14 ,45
Premier-league,2011,Queens Park Rangers,81380000,17 ,37
Premier-league,2011,Blackburn Rovers,80000000,19 ,31
Premier-league,2011,Wolverhampton Wanderers,78050000,20 ,25
Premier-league,2011,Swansea City,75600000,11 ,47
Premier-league,2011,Wigan Athletic,74250000,15 ,43
Premier-league,2011,West Bromwich Albion,69550000,10 ,47
Premier-league,2011,Norwich City,58750000,12 ,47
Premier-league,2012,Manchester City,502100000,2 ,78
Premier-league,2012,Manchester United,457500000,1 ,89
Premier-league,2012,FC Chelsea,454250000,3 ,75
Premier-league,2012,FC Arsenal,296900000,4 ,73
Premier-league,2012,Tottenham Hotspur,296800000,5 ,72
Premier-league,2012,FC Liverpool,276100000,7 ,61
Premier-league,2012,Newcastle United,201750000,16 ,41
Premier-league,2012,FC Everton,139750000,6 ,63
Premier-league,2012,AFC Sunderland,133900000,17 ,39
Premier-league,2012,Queens Park Rangers,120050000,20 ,25
Premier-league,2012,FC Fulham,110850000,12 ,43
Premier-league,2012,Aston Villa,110500000,15 ,41
Premier-league,2012,Stoke City,104050000,13 ,42
Premier-league,2012,West Ham United,103000000,10 ,46
Premier-league,2012,Swansea City,102250000,9 ,46
Premier-league,2012,West Bromwich Albion,93000000,8 ,49
Premier-league,2012,Wigan Athletic,91550000,18 ,36
Premier-league,2012,FC Southampton,83050000,14 ,41
Premier-league,2012,Norwich City,73250000,11 ,44
Premier-league,2012,FC Reading,46250000,19 ,28
Premier-league,2013,FC Chelsea,584200000,3 ,82
Premier-league,2013,Manchester City,455800000,1 ,86
Premier-league,2013,Manchester United,402550000,7 ,64
Premier-league,2013,FC Arsenal,385750000,4 ,79
Premier-league,2013,FC Liverpool,315750000,2 ,84
Premier-league,2013,Tottenham Hotspur,288950000,6 ,69
Premier-league,2013,FC Everton,210000000,5 ,72
Premier-league,2013,Newcastle United,172300000,10 ,49
Premier-league,2013,FC Southampton,131500000,8 ,56
Premier-league,2013,Swansea City,128930000,12 ,42
Premier-league,2013,AFC Sunderland,122000000,14 ,38
Premier-league,2013,FC Fulham,112650000,19 ,32
Premier-league,2013,West Ham United,109500000,13 ,40
Premier-league,2013,Aston Villa,109500000,15 ,38
Premier-league,2013,Stoke City,104700000,9 ,50
Premier-league,2013,West Bromwich Albion,90800000,17 ,36
Premier-league,2013,Norwich City,89300000,18 ,33
Premier-league,2013,Cardiff City,87900000,20 ,30
Premier-league,2013,Crystal Palace,68700000,11 ,45
Premier-league,2013,Hull City,68150000,16 ,37
Premier-league,2014,FC Chelsea,557250000,1 ,87
Premier-league,2014,Manchester United,505400000,4 ,70
Premier-league,2014,Manchester City,448250000,2 ,79
Premier-league,2014,FC Arsenal,414750000,3 ,75
Premier-league,2014,FC Liverpool,324850000,6 ,62
Premier-league,2014,Tottenham Hotspur,304150000,5 ,64
Premier-league,2014,FC Southampton,210250000,7 ,60
Premier-league,2014,FC Everton,182850000,11 ,47
Premier-league,2014,Newcastle United,140000000,15 ,39
Premier-league,2014,West Ham United,135900000,12 ,47
Premier-league,2014,Swansea City,130750000,8 ,56
Premier-league,2014,Hull City,117100000,18 ,35
Premier-league,2014,Aston Villa,114250000,17 ,38
Premier-league,2014,Queens Park Rangers,112250000,20 ,30
Premier-league,2014,Stoke City,110500000,9 ,54
Premier-league,2014,Crystal Palace,97250000,10 ,48
Premier-league,2014,West Bromwich Albion,95950000,13 ,44
Premier-league,2014,AFC Sunderland,91000000,16 ,38
Premier-league,2014,Leicester City,66700000,14 ,41
Premier-league,2014,FC Burnley,52550000,19 ,33
Premier-league,2015,FC Chelsea,553500000,10 ,50
