Liga,Saison,Team,Marktwert,Platzierung,Punkte
Bundesliga,2016,Hertha BSC,96530000,6 ,49
Bundesliga,2016,SV Werder Bremen,89450000,8 ,45
Bundesliga,2016,SC Freiburg,86730000,7 ,48
Bundesliga,2016,Hamburger SV,80480000,14 ,38
Bundesliga,2016,Eintracht Frankfurt,72300000,11 ,42
Bundesliga,2016,FC Augsburg,65850000,13 ,38
Bundesliga,2016,FC Ingolstadt 04,38630000,17 ,32
Bundesliga,2016,SV Darmstadt 98,25980000,18 ,25
Bundesliga,2017,FC Bayern München,811850000,1 ,84
Bundesliga,2017,Borussia Dortmund,574200000,4 ,55
Bundesliga,2017,RasenBallsport Leipzig,373300000,6 ,53
Bundesliga,2017,Bayer 04 Leverkusen,357350000,5 ,55
Bundesliga,2017,FC Schalke 04,274350000,2 ,63
Bundesliga,2017,TSG 1899 Hoffenheim,212750000,3 ,55
Bundesliga,2017,Borussia Mönchengladbach,193250000,9 ,47
Bundesliga,2017,VfL Wolfsburg,143600000,16 ,33
Bundesliga,2017,VfB Stuttgart,134700000,7 ,51
Bundesliga,2017,Hertha BSC,131450000,10 ,43
Bundesliga,2017,Eintracht Frankfurt,126150000,8 ,49
Bundesliga,2017,SV Werder Bremen,107150000,11 ,42
Bundesliga,2017,SC Freiburg,100600000,15 ,36
Bundesliga,2017,FC Augsburg,100450000,12 ,41
Bundesliga,2017,1.FSV Mainz 05,98350000,14 ,36
Bundesliga,2017,Hannover 96,92950000,13 ,39
Bundesliga,2017,1.FC Köln,91730000,18 ,22
Bundesliga,2017,Hamburger SV,62400000,17 ,31
Bundesliga,2018,FC Bayern München,784880000,1 ,78
Bundesliga,2018,Borussia Dortmund,643250000,2 ,76
Bundesliga,2018,RasenBallsport Leipzig,479000000,3 ,66
Bundesliga,2018,Bayer 04 Leverkusen,429400000,4 ,58
Bundesliga,2018,TSG 1899 Hoffenheim,336250000,9 ,51
Bundesliga,2018,Eintracht Frankfurt,313400000,7 ,54
Bundesliga,2018,Borussia Mönchengladbach,264300000,5 ,55
Bundesliga,2018,VfL Wolfsburg,229250000,6 ,55
Bundesliga,2018,FC Schalke 04,221300000,14 ,33
Bundesliga,2018,Hertha BSC,207630000,11 ,43
Bundesliga,2018,SV Werder Bremen,168050000,8 ,53
Bundesliga,2018,1.FSV Mainz 05,159730000,12 ,43
Bundesliga,2018,VfB Stuttgart,143750000,16 ,28
Bundesliga,2018,FC Augsburg,139250000,15 ,32
Bundesliga,2018,SC Freiburg,122100000,13 ,36
Bundesliga,2018,Fortuna Düsseldorf,94950000,10 ,44
Bundesliga,2018,Hannover 96,91430000,17 ,21
Bundesliga,2018,1.FC Nürnberg,54400000,18 ,19
Bundesliga,2019,FC Bayern München,777330000,1 ,82
Bundesliga,2019,Borussia Dortmund,654050000,2 ,69
